record_id,flight_number,route,origin_iata,origin_airport,destination_iata,destination_airport,days_of_week,departure_time_local,arrival_time_local,duration,origin_coordinates,destination_coordinates,distance_km,quality_flag
4Y512-FRA-PMI-05:40,4Y512,FRA-PMI,FRA,Frankfurt Airport,PMI,Palma de Mallorca Airport,Friday,05:40,07:45,2h5m,"50.0379,8.5622","39.5517,2.7388",1252,ok
4Y1206-FRA-CHQ-05:50,4Y1206,FRA-CHQ,FRA,Frankfurt Airport,CHQ,Chania International Airport,Thursday,05:50,09:50,3h,"50.0379,8.5622","35.5317,24.1497",2046,review
4Y1204-FRA-HER-05:50,4Y1204,FRA-HER,FRA,Frankfurt Airport,HER,Heraklion International Airport,Sunday,05:50,09:50,3h,"50.0379,8.5622","35.3397,25.1803",2115,ok
4Y1200-FRA-RHO-06:35,4Y1200,FRA-RHO,FRA,Frankfurt Airport,RHO,Rhodes International Airport,Wednesday,06:35,10:40,3h5m,"50.0379,8.5622","36.4054,28.0862",2179,ok
4Y512-FRA-PMI-06:55,4Y512,FRA-PMI,FRA,Frankfurt Airport,PMI,Palma de Mallorca Airport,Sunday,06:55,08:55,2h,"50.0379,8.5622","39.5517,2.7388",1252,ok
4Y214-FRA-MIR-07:05,4Y214,FRA-MIR,FRA,Frankfurt Airport,MIR,Monastir Habib Bourguiba International Airport,Wednesday,07:05,08:35,2h30m,"50.0379,8.5622","35.7581,10.7547",1598,ok
4Y1408-FRA-VAR-07:25,4Y1408,FRA-VAR,FRA,Frankfurt Airport,VAR,Varna Airport,Tuesday,07:25,10:55,2h30m,"50.0379,8.5622","43.2321,27.8251",1647,ok
4Y1210-FRA-CFU-07:25,4Y1210,FRA-CFU,FRA,Frankfurt Airport,CFU,Corfu International Airport,Thursday,07:25,10:45,2h20m,"50.0379,8.5622","39.6019,19.9117",1462,ok
4Y1214-FRA-ZTH-07:25,4Y1214,FRA-ZTH,FRA,Frankfurt Airport,ZTH,Zakynthos International Airport,Sunday,07:25,11:00,2h35m,"50.0379,8.5622","37.7509,20.8842",1681,ok
4Y802-FRA-BRI-07:55,4Y802,FRA-BRI,FRA,Frankfurt Airport,BRI,Bari Karol Wojtyla Airport,Thursday,07:55,09:55,2h,"50.0379,8.5622","41.1389,16.7606",1176,ok
4Y1210-FRA-CFU-08:20,4Y1210,FRA-CFU,FRA,Frankfurt Airport,CFU,Corfu International Airport,Tuesday,08:20,11:40,2h20m,"50.0379,8.5622","39.6019,19.9117",1462,ok
4Y206-FRA-HRG-08:20,4Y206,FRA-HRG,FRA,Frankfurt Airport,HRG,Hurghada International Airport,Saturday,08:20,13:00,4h40m,"50.0379,8.5622","27.1783,33.7994",3324,ok
4Y202-FRA-RAK-08:25,4Y202,FRA-RAK,FRA,Frankfurt Airport,RAK,Marrakesh Menara Airport,Wednesday,08:25,11:10,3h45m,"50.0379,8.5622","31.6069,-8.0363",2468,ok
4Y910-FRA-ZAD-08:30,4Y910,FRA-ZAD,FRA,Frankfurt Airport,ZAD,Zadar Airport,Friday,08:30,10:00,1h30m,"50.0379,8.5622","44.1083,15.3467",835,ok
4Y500-FRA-XRY-08:50,4Y500,FRA-XRY,FRA,Frankfurt Airport,XRY,Jerez Airport,Friday,08:50,11:50,3h,"50.0379,8.5622","36.7446,-6.0601",1885,ok
4Y206-FRA-HRG-08:55,4Y206,FRA-HRG,FRA,Frankfurt Airport,HRG,Hurghada International Airport,Thursday,08:55,13:30,4h35m,"50.0379,8.5622","27.1783,33.7994",3324,ok
4Y54-FRA-LAS-09:20,4Y54,FRA-LAS,FRA,Frankfurt Airport,LAS,Harry Reid International Airport,Wednesday,09:20,12:05,11h45m,"50.0379,8.5622","36.084,-115.1537",8962,ok
4Y802-FRA-BRI-09:25,4Y802,FRA-BRI,FRA,Frankfurt Airport,BRI,Bari Karol Wojtyla Airport,Wednesday;Saturday,09:25,11:25,2h,"50.0379,8.5622","41.1389,16.7606",1176,ok
4Y530-FRA-IBZ-09:25,4Y530,FRA-IBZ,FRA,Frankfurt Airport,IBZ,Ibiza Airport,Friday,09:25,11:40,2h15m,"50.0379,8.5622","38.8729,1.3731",1365,ok
4Y1300-FRA-EVE-09:30,4Y1300,FRA-EVE,FRA,Frankfurt Airport,EVE,Harstad/Narvik Airport,Thursday,09:30,12:35,3h5m,"50.0379,8.5622","68.4913,16.6781",2099,ok
4Y530-FRA-IBZ-09:30,4Y530,FRA-IBZ,FRA,Frankfurt Airport,IBZ,Ibiza Airport,Monday;Wednesday,09:30,11:45,2h15m,"50.0379,8.5622","38.8729,1.3731",1365,ok
4Y530-FRA-IBZ-09:35,4Y530,FRA-IBZ,FRA,Frankfurt Airport,IBZ,Ibiza Airport,Tuesday,09:35,11:50,2h15m,"50.0379,8.5622","38.8729,1.3731",1365,ok
4Y206-FRA-HRG-09:40,4Y206,FRA-HRG,FRA,Frankfurt Airport,HRG,Hurghada International Airport,Wednesday,09:40,14:15,4h35m,"50.0379,8.5622","27.1783,33.7994",3324,ok
4Y530-FRA-IBZ-09:40,4Y530,FRA-IBZ,FRA,Frankfurt Airport,IBZ,Ibiza Airport,Thursday,09:40,11:55,2h15m,"50.0379,8.5622","38.8729,1.3731",1365,ok
4Y202-FRA-RAK-09:45,4Y202,FRA-RAK,FRA,Frankfurt Airport,RAK,Marrakesh Menara Airport,Monday,09:45,12:35,3h50m,"50.0379,8.5622","31.6069,-8.0363",2468,ok
4Y1300-FRA-EVE-09:50,4Y1300,FRA-EVE,FRA,Frankfurt Airport,EVE,Harstad/Narvik Airport,Friday,09:50,12:55,3h5m,"50.0379,8.5622","68.4913,16.6781",2099,ok
4Y500-FRA-XRY-09:50,4Y500,FRA-XRY,FRA,Frankfurt Airport,XRY,Jerez Airport,Tuesday,09:50,12:50,3h,"50.0379,8.5622","36.7446,-6.0601",1885,ok
4Y1302-FRA-ALF-09:50,4Y1302,FRA-ALF,FRA,Frankfurt Airport,ALF,Alta Airport,Sunday,09:50,13:25,3h35m,"50.0379,8.5622","69.9761,23.3717",2350,ok
4Y302-FRA-LPA-09:55,4Y302,FRA-LPA,FRA,Frankfurt Airport,LPA,Gran Canaria Airport,Monday,09:55,13:35,4h40m,"50.0379,8.5622","27.9319,-15.3866",3185,ok
4Y306-FRA-TFS-10:00,4Y306,FRA-TFS,FRA,Frankfurt Airport,TFS,Tenerife South Airport,Tuesday,10:00,14:00,5h,"50.0379,8.5622","28.0445,-16.5725",3239,ok
4Y10-FRA-CUN-10:00,4Y10,FRA-CUN,FRA,Frankfurt Airport,CUN,Cancun International Airport,Thursday;Friday,10:00,16:05,12h5m,"50.0379,8.5622","21.0365,-86.8771",8605,ok
4Y302-FRA-LPA-10:00,4Y302,FRA-LPA,FRA,Frankfurt Airport,LPA,Gran Canaria Airport,Friday,10:00,13:40,4h40m,"50.0379,8.5622","27.9319,-15.3866",3185,ok
4Y1500-FRA-SNN-10:05,4Y1500,FRA-SNN,FRA,Frankfurt Airport,SNN,Shannon Airport,Saturday,10:05,11:15,2h10m,"50.0379,8.5622","52.7019,-8.9248",1246,ok
4Y308-FRA-ACE-10:05,4Y308,FRA-ACE,FRA,Frankfurt Airport,ACE,Cesar Manrique-Lanzarote Airport,Monday;Thursday;Friday,10:05,13:35,4h30m,"50.0379,8.5622","28.9455,-13.6052",2996,ok
4Y302-FRA-LPA-10:05,4Y302,FRA-LPA,FRA,Frankfurt Airport,LPA,Gran Canaria Airport,Tuesday;Friday,10:05,13:45,4h40m,"50.0379,8.5622","27.9319,-15.3866",3185,ok
4Y10-FRA-CUN-10:10,4Y10,FRA-CUN,FRA,Frankfurt Airport,CUN,Cancun International Airport,Monday;Sunday,10:10,16:15,12h5m,"50.0379,8.5622","21.0365,-86.8771",8605,ok
4Y1300-FRA-EVE-10:10,4Y1300,FRA-EVE,FRA,Frankfurt Airport,EVE,Harstad/Narvik Airport,Wednesday,10:10,13:25,3h15m,"50.0379,8.5622","68.4913,16.6781",2099,ok
4Y512-FRA-PMI-10:10,4Y512,FRA-PMI,FRA,Frankfurt Airport,PMI,Palma de Mallorca Airport,Monday;Wednesday,10:10,12:15,2h5m,"50.0379,8.5622","39.5517,2.7388",1252,ok
4Y10-FRA-CUN-10:15,4Y10,FRA-CUN,FRA,Frankfurt Airport,CUN,Cancun International Airport,Wednesday,10:15,16:20,12h5m,"50.0379,8.5622","21.0365,-86.8771",8605,ok
4Y310-FRA-SPC-10:15,4Y310,FRA-SPC,FRA,Frankfurt Airport,SPC,La Palma Airport,Tuesday;Saturday,10:15,14:00,4h45m,"50.0379,8.5622","28.6265,-17.7556",3252,ok
4Y300-FRA-FUE-10:20,4Y300,FRA-FUE,FRA,Frankfurt Airport,FUE,Fuerteventura Airport,Tuesday,10:20,13:50,4h30m,"50.0379,8.5622","28.4527,-13.8638",3056,ok
4Y306-FRA-TFS-10:20,4Y306,FRA-TFS,FRA,Frankfurt Airport,TFS,Tenerife South Airport,Saturday,10:20,14:10,4h50m,"50.0379,8.5622","28.0445,-16.5725",3239,ok
